TimeStamp(ms),Channel,Sensor,Element,Lta,Count,Prox,Touch,TouchThresh,ProxThresh
18,1,BTN00,E00,157,157,0,0,181,172
19,2,BTN00,E02,149,150,0,0,172,165
19,3,BTN00,E04,150,150,0,0,173,165
19,4,BTN00,E03,154,154,0,0,178,169
19,5,BTN00,E05,150,150,0,0,173,165
19,6,BTN00,E07,148,148,0,0,171,163
20,7,BTN00,E06,155,155,0,0,179,170
20,8,BTN00,E08,150,150,0,0,173,165
20,9,BTN00,E10,148,147,0,0,171,162
20,10,BTN00,E09,152,151,0,0,175,166
20,11,BTN00,E11,148,148,0,0,171,163
34,0,BTN00,E01,148,149,0,0,171,164
34,1,BTN00,E00,157,157,0,0,181,172
34,2,BTN00,E02,149,149,0,0,172,164
34,3,BTN00,E04,150,150,0,0,173,165
34,4,BTN00,E03,154,155,0,0,178,170
34,5,BTN00,E05,150,151,0,0,173,166
34,6,BTN00,E07,148,149,0,0,171,164
34,7,BTN00,E06,155,155,0,0,179,170
34,8,BTN00,E08,150,150,0,0,173,165
34,9,BTN00,E10,148,147,0,0,171,162
53,10,BTN00,E09,152,152,0,0,175,167
53,11,BTN00,E11,148,148,0,0,171,163
68,0,BTN00,E01,148,149,0,0,171,164
68,1,BTN00,E00,157,158,0,0,181,173
68,2,BTN00,E02,149,149,0,0,172,164
68,3,BTN00,E04,150,149,0,0,173,164
68,4,BTN00,E03,154,155,0,0,178,170
68,5,BTN00,E05,150,150,0,0,173,165
68,6,BTN00,E07,148,148,0,0,171,163
68,7,BTN00,E06,155,154,0,0,179,169
68,8,BTN00,E08,150,150,0,0,173,165
68,9,BTN00,E10,148,147,0,0,171,162
68,10,BTN00,E09,152,152,0,0,175,167
68,11,BTN00,E11,148,149,0,0,171,164
102,0,BTN00,E01,148,149,0,0,171,164
102,1,BTN00,E00,157,159,0,0,181,174
102,2,BTN00,E02,149,149,0,0,172,164
113,3,BTN00,E04,150,150,0,0,173,165
113,4,BTN00,E03,154,156,0,0,178,171
113,5,BTN00,E05,150,150,0,0,173,165
113,6,BTN00,E07,148,148,0,0,171,163
113,7,BTN00,E06,155,155,0,0,179,170
113,8,BTN00,E08,150,149,0,0,173,164
113,9,BTN00,E10,147,147,0,0,169,162
114,10,BTN00,E09,152,152,0,0,175,167
114,11,BTN00,E11,148,150,0,0,171,165
133,0,BTN00,E01,148,148,0,0,171,163
134,1,BTN00,E00,157,158,0,0,181,173
137,2,BTN00,E02,149,148,0,0,172,163
137,3,BTN00,E04,150,150,0,0,173,165
137,4,BTN00,E03,154,156,0,0,178,171
137,5,BTN00,E05,150,150,0,0,173,165
150,6,BTN00,E07,148,148,0,0,171,163
150,7,BTN00,E06,155,157,0,0,179,172
150,8,BTN00,E08,150,149,0,0,173,164
150,9,BTN00,E10,147,148,0,0,169,163
150,10,BTN00,E09,152,152,0,0,175,167
150,11,BTN00,E11,148,149,0,0,171,164
167,0,BTN00,E01,148,147,0,0,171,162
167,1,BTN00,E00,157,158,0,0,181,173
167,2,BTN00,E02,149,149,0,0,172,164
167,3,BTN00,E04,150,150,0,0,173,165
167,4,BTN00,E03,154,157,0,0,178,172
167,5,BTN00,E05,150,150,0,0,173,165
167,6,BTN00,E07,148,148,0,0,171,163
167,7,BTN00,E06,155,156,0,0,179,171
167,8,BTN00,E08,150,149,0,0,173,164
167,9,BTN00,E10,147,148,0,0,169,163
167,10,BTN00,E09,152,152,0,0,175,167
167,11,BTN00,E11,148,149,0,0,171,164
199,0,BTN00,E01,148,148,0,0,171,163
199,1,BTN00,E00,157,159,0,0,181,174
199,2,BTN00,E02,149,148,0,0,172,163
199,3,BTN00,E04,150,150,0,0,173,165
199,4,BTN00,E03,155,156,0,0,179,171
199,5,BTN00,E05,150,150,0,0,173,165
199,6,BTN00,E07,148,148,0,0,171,163
218,7,BTN00,E06,155,155,0,0,179,170
218,8,BTN00,E08,150,149,0,0,173,164
218,9,BTN00,E10,147,147,0,0,169,162
218,10,BTN00,E09,152,152,0,0,175,167
218,11,BTN00,E11,148,149,0,0,171,164
234,0,BTN00,E01,148,149,0,0,171,164
234,1,BTN00,E00,157,158,0,0,181,173
234,2,BTN00,E02,149,149,0,0,172,164
234,3,BTN00,E04,150,150,0,0,173,165
234,4,BTN00,E03,155,156,0,0,179,171
234,5,BTN00,E05,150,151,0,0,173,166
234,6,BTN00,E07,148,149,0,0,171,164
234,7,BTN00,E06,155,156,0,0,179,171
234,8,BTN00,E08,150,149,0,0,173,164
234,9,BTN00,E10,147,147,0,0,169,162
234,10,BTN00,E09,152,152,0,0,175,167
234,11,BTN00,E11,148,149,0,0,171,164
267,0,BTN00,E01,148,148,0,0,171,163
267,1,BTN00,E00,157,158,0,0,181,173
267,2,BTN00,E02,149,150,0,0,172,165
267,3,BTN00,E04,150,150,0,0,173,165
267,4,BTN00,E03,155,156,0,0,179,171
267,5,BTN00,E05,150,151,0,0,173,166
267,6,BTN00,E07,148,149,0,0,171,164
267,7,BTN00,E06,155,156,0,0,179,171
267,8,BTN00,E08,150,150,0,0,173,165
268,9,BTN00,E10,147,148,0,0,169,163
268,10,BTN00,E09,152,153,0,0,175,168
268,11,BTN00,E11,148,149,0,0,171,164
292,0,BTN00,E01,148,148,0,0,171,163
300,1,BTN00,E00,157,156,0,0,181,171
300,2,BTN00,E02,149,150,0,0,172,165
300,3,BTN00,E04,150,149,0,0,173,164
300,4,BTN00,E03,155,155,0,0,179,170
300,5,BTN00,E05,150,150,0,0,173,165
300,6,BTN00,E07,148,149,0,0,171,164
300,7,BTN00,E06,155,156,0,0,179,171
300,8,BTN00,E08,150,150,0,0,173,165
300,9,BTN00,E10,147,149,0,0,169,164
300,10,BTN00,E09,152,153,0,0,175,168
300,11,BTN00,E11,148,148,0,0,171,163
327,0,BTN00,E01,148,148,0,0,171,163
333,1,BTN00,E00,157,157,0,0,181,172
333,2,BTN00,E02,149,149,0,0,172,164
333,3,BTN00,E04,150,149,0,0,173,164
333,4,BTN00,E03,155,156,0,0,179,171
333,5,BTN00,E05,150,150,0,0,173,165
333,6,BTN00,E07,148,149,0,0,171,164
334,7,BTN00,E06,155,156,0,0,179,171
334,8,BTN00,E08,150,150,0,0,173,165
334,9,BTN00,E10,147,148,0,0,169,163
344,10,BTN00,E09,152,153,0,0,175,168
344,11,BTN00,E11,148,149,0,0,171,164
363,0,BTN00,E01,148,149,0,0,171,164
363,1,BTN00,E00,157,159,0,0,181,174
363,2,BTN00,E02,149,150,0,0,172,165
363,3,BTN00,E04,150,149,0,0,173,164
364,4,BTN00,E03,155,156,0,0,179,171
364,5,BTN00,E05,150,150,0,0,173,165
364,6,BTN00,E07,148,149,0,0,171,164
367,7,BTN00,E06,155,156,0,0,179,171
367,8,BTN00,E08,150,150,0,0,173,165
367,9,BTN00,E10,147,148,0,0,169,163
367,10,BTN00,E09,152,152,0,0,175,167
367,11,BTN00,E11,148,148,0,0,171,163
384,0,BTN00,E01,148,148,0,0,171,163
384,1,BTN00,E00,157,157,0,0,181,172
384,2,BTN00,E02,149,150,0,0,172,165
384,3,BTN00,E04,150,149,0,0,173,164
384,4,BTN00,E03,155,156,0,0,179,171
384,5,BTN00,E05,150,150,0,0,173,165
384,6,BTN00,E07,148,149,0,0,171,164
384,7,BTN00,E06,155,156,0,0,179,171
384,8,BTN00,E08,150,150,0,0,173,165
400,9,BTN00,E10,147,149,0,0,169,164
400,10,BTN00,E09,152,152,0,0,175,167
400,11,BTN00,E11,148,148,0,0,171,163
423,0,BTN00,E01,148,148,0,0,171,163
434,1,BTN00,E00,157,158,0,0,181,173
434,2,BTN00,E02,149,150,0,0,172,165
434,3,BTN00,E04,150,150,0,0,173,165
434,4,BTN00,E03,155,155,0,0,179,170
434,5,BTN00,E05,150,150,0,0,173,165
434,6,BTN00,E07,148,149,0,0,171,164
434,7,BTN00,E06,155,154,0,0,179,169
434,8,BTN00,E08,150,150,0,0,173,165
434,9,BTN00,E10,148,148,0,0,171,163
434,10,BTN00,E09,152,152,0,0,175,167
434,11,BTN00,E11,148,149,0,0,171,164
450,0,BTN00,E01,148,147,0,0,171,162
450,1,BTN00,E00,157,157,0,0,181,172
450,2,BTN00,E02,149,149,0,0,172,164
468,3,BTN00,E04,150,150,0,0,173,165
